Description,Brand,Model,S/N,Quantity,Remark
Subwoofer,L-Acoustics,SB18,790014501,1,
Subwoofer,L-Acoustics,SB18,790014516,1,
Subwoofer,L-Acoustics,SB18,790014502,1,
Subwoofer,L-Acoustics,KS21,1460001415,1,
Subwoofer,L-Acoustics,KS21,1460001392,1,
Subwoofer,L-Acoustics,KS21,1460002113,1,
Subwoofer,L-Acoustics,KS21,1460002143,1,
Subwoofer,L-Acoustics,SYVA SUB,1370001090,1,
Subwoofer,L-Acoustics,SYVA SUB,1370001078,1,
Subwoofer,L-Acoustics,SYVA SUB,1370001087,1,
Subwoofer,L-Acoustics,SYVA SUB,1370001077,1,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-005,,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-006,,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-008,,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-009,,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-010,,
Subwoofer,ELECTRO VOICE,ETX18SP,405863-35590-1030-001,,
Subwoofer,ELECTRO VOICE,SB122,100075M0425,,
Subwoofer,ELECTRO VOICE,SB122,10123M0624,,
Loundspeaker,MEYER SOUND,MICA Line Array,6262449,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262452,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262450,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262112,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262453,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262111,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262451,1,
Loundspeaker,MEYER SOUND,MICA Line Array,6262446,1,
Loundspeaker,MEYER SOUND,UPA-1P,7476727,1,
Loundspeaker,MEYER SOUND,UPA-1P,7476728,1,
Loundspeaker,MEYER SOUND,UPA-1P,7476731,1,
Loundspeaker,MEYER SOUND,UPA-1P,7476732,1,
Loundspeaker,MEYER SOUND,UPA-1P,5472760,1,
Loundspeaker,MEYER SOUND,UPA-1P,5470970,1,
Loundspeaker,MEYER SOUND,UPA-1P,55470840,1,
Loundspeaker,MEYER SOUND,UPA-1P,5470969,1,
Loundspeaker,MEYER SOUND,UPA-1P,5472663,1,
Loundspeaker,MEYER SOUND,UPA-1P,5472669,1,
Loundspeaker,MEYER SOUND,UPA-1P,5472667,1,
Loundspeaker,MEYER SOUND,UPA-1P,55470972,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-25,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-44,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-30,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254190-16000-32,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40686-155570-12300-13,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-46,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254180-12000-12,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-41,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-35,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40586-254550-11000-38,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40686-155570-123000-13,1,
Loundspeaker,ELECTRO VOICE,ETX12P,40068-6255570-12300-16,1,
